,Unnamed: 0,date,start_time,vis_team,home_team,vis_points,home_points,ot,attendance,home_initial,vis_initial,home_players,home_bench,vis_players,vis_bench,referees,score_starter_home,score_bench_home,score_starter_vis,score_bench_vis,recovery_time,perform,def_perf_home,off_perf_home,def_perf_vis,off_perf_vis,total_score,class,frac_season,day_hour
10,10,2019-10-23,21:00:00,Oklahoma City Thunder,Utah Jazz,95,100,0,18306,UTA,OKC,"Rudy Gobert,Donovan Mitchell,Royce O'Neale,Mike Conley,Bojan Bogdanović","Joe Ingles,Emmanuel Mudiay,Jeff Green,Ed Davis,Georges Niang,Tony Bradley,Nigel Williams-Goss,Stanton Kidd","Shai Gilgeous-Alexander,Chris Paul,Danilo Gallinari,Steven Adams,Terrance Ferguson","Dennis Schröder,Hamidou Diallo,Darius Bazley,Mike Muscala,Nerlens Noel,Justin Patton,Deonte Burton,Abdel Nader","Kane Fitzgerald,Tre Maddox,Dedric Taylor",79.58822886615962,37.7050478927203,71.29610190575707,52.51661057252179,,,,,,,195,0,0.005681818181818182,21.0
11,11,2019-10-23,22:00:00,Sacramento Kings,Phoenix Suns,95,124,0,18055,PHO,SAC,"Deandre Ayton,Devin Booker,Kelly Oubre,Ricky Rubio,Dario Šarić","Mikal Bridges,Frank Kaminsky,Jevon Carter,Tyler Johnson,Aron Baynes,Elie Okobo,Cheick Diallo,Jared Harper","Buddy Hield,Harrison Barnes,Marvin Bagley,De'Aaron Fox,Dewayne Dedmon","Bogdan Bogdanović,Trevor Ariza,Cory Joseph,Nemanja Bjelica,Richaun Holmes,Yogi Ferrell,Caleb Swanigan,Wenyen Gabriel","John Butler,Bill Spooner,James Williams",68.26898308061588,50.95022682216232,60.778251262626256,62.215653014002065,,,,,,,219,0,0.005681818181818182,22.0
12,12,2019-10-23,22:00:00,Denver Nuggets,Portland Trail Blazers,108,100,0,19991,POR,DEN,"Damian Lillard,CJ McCollum,Rodney Hood,Zach Collins,Hassan Whiteside","Kent Bazemore,Mario Hezonja,Anthony Tolliver,Anfernee Simons,Skal Labissière,Nassir Little,Gary Trent","Gary Harris,Jamal Murray,Paul Millsap,Will Barton,Nikola Jokić","Jerami Grant,Mason Plumlee,Torrey Craig,Monte Morris,Malik Beasley,Juan Hernangómez,PJ Dozier,Michael Porter","Ray Acosta,Kevin Cutler,Scott Foster",87.64486258041941,35.141906431334625,76.44851097178683,53.44677144396484,,,,,,,208,0,0.005681818181818182,22.0
13,13,2019-10-24,19:00:00,Atlanta Hawks,Detroit Pistons,117,100,0,20338,DET,ATL,"Andre Drummond,Tony Snell,Markieff Morris,Bruce Brown,Reggie Jackson","Luke Kennard,Langston Galloway,Derrick Rose,Thon Maker,Tim Frazier,Christian Wood,Khyri Thomas,Sviatoslav Mykhailiuk","Trae Young,John Collins,De'Andre Hunter,Alex Len,Cam Reddish","DeAndre' Bembry,Jabari Parker,Evan Turner,Bruno Fernando,Kevin Huerter,Vince Carter,Brandon Goodwin,Damian Jones","Tony Brothers,Mitchell Ervin,Aaron Smith",57.5265214267223,76.58873209824823,82.41167752775347,56.8096487955369,,,,,,,217,0,0.011363636363636364,19.0
14,14,2019-10-24,20:00:00,Milwaukee Bucks,Houston Rockets,117,111,0,18055,HOU,MIL,"P.J. Tucker,James Harden,Russell Westbrook,Clint Capela,Danuel House","Eric Gordon,Ben McLemore,Austin Rivers,Tyson Chandler,Thabo Sefolosha,Ryan Anderson,Gary Clark,Chris Clemons","Khris Middleton,Wesley Matthews,Giannis Antetokounmpo,Brook Lopez,Eric Bledsoe","George Hill,Ersan İlyasova,Pat Connaughton,Robin Lopez,Kyle Korver,Sterling Brown,D.J. Wilson,Donte DiVincenzo","Matt Boland,Tyler Ford,Tom Washington",93.10456870502388,46.918472302336646,84.68414327306655,51.25511793448649,,,,,,,228,1,0.011363636363636364,20.0
15,15,2019-10-24,22:30:00,Los Angeles Clippers,Golden State Warriors,141,122,0,18064,GSW,LAC,"D'Angelo Russell,Glenn Robinson,Stephen Curry,Draymond Green,Kevon Looney","Eric Paschall,Jacob Evans,Jordan Poole,Marquese Chriss,Omari Spellman,Damion Lee,Ky Bowman","Landry Shamet,Patrick Beverley,Patrick Patterson,Kawhi Leonard,Ivica Zubac","Lou Williams,Montrezl Harrell,Maurice Harkless,JaMychal Green,Johnathan Motley,Mfiondu Kabengele,Jerome Robinson,Terance Mann","Ray Acosta,Brian Forte,Scott Foster",55.31214470284237,64.1454243405402,57.01159652690863,60.40823101629553,,,,,,,263,1,0.011363636363636364,22.5
16,16,2019-10-25,19:00:00,Toronto Raptors,Boston Celtics,106,112,0,18624,BOS,TOR,"Jaylen Brown,Gordon Hayward,Kemba Walker,Jayson Tatum,Daniel Theis","Marcus Smart,Grant Williams,Robert Williams,Brad Wanamaker,Semi Ojeleye,Javonte Green,Vincent Poirier,Carsen Edwards","Fred VanVleet,Kyle Lowry,OG Anunoby,Pascal Siakam,Marc Gasol","Serge Ibaka,Norman Powell,Terence Davis,Stanley Johnson,Malcolm Miller,Matt Thomas,Chris Boucher,Dewan Hernandez","Ed Malloy,Derek Richardson,Michael Smith",91.78131437106306,38.70747772930008,79.32961993457276,54.08346590909091,5.0,,,,,,218,0,0.017045454545454544,19.0
17,17,2019-10-25,19:00:00,Minnesota Timberwolves,Charlotte Hornets,121,99,0,14879,CHO,MIN,"P.J. Washington,Miles Bridges,Dwayne Bacon,Bismack Biyombo,Terry Rozier","Devonte' Graham,Willy Hernangómez,Malik Monk,Caleb Martin,Cody Martin,Marvin Williams,Michael Kidd-Gilchrist,Jalen McDaniels","Andrew Wiggins,Karl-Anthony Towns,Treveon Graham,Jeff Teague,Robert Covington","Josh Okogie,Jake Layman,Shabazz Napier,Noah Vonleh,Jarrett Culver,Gorgui Dieng,Jordan Bell,Kelan Martin","Brandon Adair,Eric Dalen,Ken Mauer",56.36929416278798,59.856486748019,76.30544232714817,58.05642197055361,4.0,,,,,,220,1,0.017045454545454544,19.0
18,18,2019-10-25,19:30:00,New York Knicks,Brooklyn Nets,109,113,0,17732,BRK,NYK,"Taurean Waller-Prince,Joe Harris,Kyrie Irving,Jarrett Allen,Caris LeVert","Spencer Dinwiddie,DeAndre Jordan,Garrett Temple,David Nwaba,Rodions Kurucs,Džanan Musa,Theo Pinson,Wilson Chandler","Julius Randle,RJ Barrett,Marcus Morris,Elfrid Payton,Mitchell Robinson","Kevin Knox,Allonzo Trier,Taj Gibson,Wayne Ellington,Bobby Portis,Dennis Smith,Damyean Dotson,Frank Ntilikina","Courtney Kirkland,Rodney Mott,Evan Scott",69.72072268009768,62.22779095904096,70.85283100324084,47.17259375457593,4.0,,,,,,222,1,0.017045454545454544,19.5
19,19,2019-10-25,20:00:00,Chicago Bulls,Memphis Grizzlies,110,102,0,17794,MEM,CHI,"Jaren Jackson,Jae Crowder,Dillon Brooks,Ja Morant,Jonas Valančiūnas","Brandon Clarke,Kyle Anderson,Tyus Jones,Grayson Allen,Marko Guduric,Solomon Hill,De'Anthony Melton,Bruno Caboclo","Zach LaVine,Lauri Markkanen,Wendell Carter,Tomáš Satoranský,Otto Porter","Coby White,Kris Dunn,Thaddeus Young,Ryan Arcidiacono,Luke Kornet,Shaquille Harrison,Daniel Gafford,Denzel Valentine","James Capers Jr.,Nate Green,J.T. Orr",58.586653575680934,52.673847257576064,62.07626373626374,58.10828484718277,4.0,,,,,,212,0,0.017045454545454544,20.0
20,20,2019-10-25,20:00:00,Dallas Mavericks,New Orleans Pelicans,123,116,0,17027,NOP,DAL,"Lonzo Ball,Jrue Holiday,Brandon Ingram,Derrick Favors,J.J. Redick","Josh Hart,Kenrich Williams,Frank Jackson,Nickeil Alexander-Walker,Nicolò Melli,Jahlil Okafor,E'Twaun Moore,Jaxson Hayes","Luka Dončić,Kristaps Porziņģis,Jalen Brunson,Dorian Finney-Smith,Courtney Lee","Maxi Kleber,Delon Wright,Tim Hardaway,Seth Curry,Justin Jackson,J.J. Barea,Boban Marjanović,Ryan Broekhoff","Scott Wall,James Williams,Zach Zarba",80.35398027898026,55.20230773656357,69.8823762326568,52.60078714341099,5.0,,,,,,239,1,0.017045454545454544,20.0
21,21,2019-10-25,20:00:00,Washington Wizards,Oklahoma City Thunder,97,85,0,18203,OKC,WAS,"Shai Gilgeous-Alexander,Chris Paul,Danilo Gallinari,Steven Adams,Terrance Ferguson","Dennis Schröder,Hamidou Diallo,Darius Bazley,Abdel Nader,Mike Muscala,Nerlens Noel,Deonte Burton,Justin Patton","Rui Hachimura,Bradley Beal,Ish Smith,Thomas Bryant,Isaac Bonga","Dāvis Bertāns,Moritz Wagner,Chris Chiozza,Garrison Mathews,Admiral Schofield,Jordan McRae,Isaiah Thomas,Justin Robinson","Pat Fraher,Mark Lindsay,Brett Nansel",71.29610190575707,52.51661057252179,71.05118336210586,62.63443443443443,4.0,,,,,,182,0,0.017045454545454544,20.0
22,22,2019-10-25,21:00:00,Phoenix Suns,Denver Nuggets,107,108,1,19557,DEN,PHO,"Jamal Murray,Nikola Jokić,Gary Harris,Paul Millsap,Will Barton","Jerami Grant,Malik Beasley,Torrey Craig,Monte Morris,Mason Plumlee,Michael Porter,PJ Dozier,Juan Hernangómez","Devin Booker,Kelly Oubre,Ricky Rubio,Dario Šarić,Aron Baynes","Frank Kaminsky,Tyler Johnson,Jevon Carter,Mikal Bridges,Cheick Diallo,Deandre Ayton,Elie Okobo,Jared Harper","Kane Fitzgerald,Scott Twardoski,Justin Van Duyne",76.44851097178683,53.44677144396484,60.72136403299685,58.49784586978135,4.0,,,,,,215,0,0.017045454545454544,21.0
23,23,2019-10-25,22:00:00,Portland Trail Blazers,Sacramento Kings,122,112,0,17583,SAC,POR,"De'Aaron Fox,Harrison Barnes,Buddy Hield,Nemanja Bjelica,Dewayne Dedmon","Bogdan Bogdanović,Trevor Ariza,Richaun Holmes,Cory Joseph,Yogi Ferrell,Justin James,Wenyen Gabriel,Caleb Swanigan","Damian Lillard,CJ McCollum,Zach Collins,Rodney Hood,Hassan Whiteside","Kent Bazemore,Anfernee Simons,Mario Hezonja,Anthony Tolliver,Skal Labissière,Nassir Little,Gary Trent","Mark Ayotte,Mousa Dagher,Josh Tiven",72.63762626262627,52.856278014002065,87.64486258041941,35.141906431334625,4.0,,,,,,234,1,0.017045454545454544,22.0
24,24,2019-10-25,22:30:00,Utah Jazz,Los Angeles Lakers,86,95,0,18997,LAL,UTA,"Anthony Davis,LeBron James,Danny Green,Avery Bradley,JaVale McGee","Troy Daniels,Quinn Cook,Kentavious Caldwell-Pope,Alex Caruso,Dwight Howard,Jared Dudley,Zach Norvell,Kostas Antetokounmpo","Donovan Mitchell,Rudy Gobert,Mike Conley,Joe Ingles,Jeff Green","Royce O'Neale,Georges Niang,Emmanuel Mudiay,Ed Davis,Tony Bradley,Stanton Kidd,Jarrell Brantley,Nigel Williams-Goss","Kevin Cutler,David Guthrie,Leon Wood",76.0387136672851,34.94499211506706,71.27513362806441,25.780047892720305,5.0,,,,,,181,0,0.017045454545454544,22.5
25,25,2019-10-26,17:00:00,Miami Heat,Milwaukee Bucks,131,126,1,17467,MIL,MIA,"Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Eric Bledsoe,Wesley Matthews","George Hill,Ersan İlyasova,Kyle Korver,Pat Connaughton,Robin Lopez,Sterling Brown,D.J. Wilson,Donte DiVincenzo","Justise Winslow,Bam Adebayo,Tyler Herro,Kendrick Nunn,Meyers Leonard","Goran Dragić,Kelly Olynyk,Duncan Robinson,Derrick Jones,Chris Silva,KZ Okpala,Daryl Macon,Udonis Haslem","Sean Corbin,Aaron Smith,Jonathan Sterling",84.68414327306655,51.25511793448649,62.1126779681736,43.75551003510904,5.0,,,,,,257,1,0.022727272727272728,17.0
26,26,2019-10-26,19:00:00,Philadelphia 76ers,Detroit Pistons,117,111,0,16207,DET,PHI,"Markieff Morris,Tony Snell,Andre Drummond,Tim Frazier,Bruce Brown","Luke Kennard,Derrick Rose,Langston Galloway,Thon Maker,Christian Wood,Jordan Bone,Sviatoslav Mykhailiuk,Khyri Thomas","Josh Richardson,Tobias Harris,Ben Simmons,Al Horford,Matisse Thybulle","Mike Scott,Kyle O'Quinn,Shake Milton,James Ennis,Furkan Korkmaz,Raul Neto,Norvel Pelle,Trey Burke","Nick Buchert,Jason Goldenberg,Kevin Scott",48.33650532366273,74.19613950565564,66.60297833258359,46.538349140938436,5.0,,,,,,228,1,0.022727272727272728,19.0
27,27,2019-10-26,19:30:00,Orlando Magic,Atlanta Hawks,99,103,0,17078,ATL,ORL,"Trae Young,John Collins,Cam Reddish,De'Andre Hunter,Alex Len","DeAndre' Bembry,Kevin Huerter,Jabari Parker,Vince Carter,Evan Turner,Damian Jones,Bruno Fernando,Tyrone Wallace","Nikola Vučević,Aaron Gordon,Evan Fournier,Jonathan Isaac,D.J. Augustin","Markelle Fultz,Terrence Ross,Al-Farouq Aminu,Michael Carter-Williams,Mohamed Bamba,Melvin Frazier,Khem Birch,Wesley Iwundu","Gediminas Petraitis,Leroy Richardson,Tom Washington",82.41167752775347,53.607968123268,75.10818744934063,48.63988095238096,5.0,,,,,,202,0,0.022727272727272728,19.5
28,28,2019-10-26,19:30:00,Boston Celtics,New York Knicks,118,95,0,19812,NYK,BOS,"RJ Barrett,Elfrid Payton,Julius Randle,Marcus Morris,Mitchell Robinson","Bobby Portis,Kevin Knox,Allonzo Trier,Dennis Smith,Taj Gibson,Damyean Dotson,Frank Ntilikina,Wayne Ellington","Jayson Tatum,Kemba Walker,Jaylen Brown,Gordon Hayward,Robert Williams","Marcus Smart,Carsen Edwards,Grant Williams,Semi Ojeleye,Vincent Poirier,Tacko Fall,Brad Wanamaker,Javonte Green","Derrick Collins,Eric Lewis,Natalie Sago",70.85283100324084,47.17259375457593,86.74908048800457,37.61327483074936,2.0,26.333333333333336,,,,,213,0,0.022727272727272728,19.5
29,29,2019-10-26,20:00:00,Toronto Raptors,Chicago Bulls,108,84,0,21498,CHI,TOR,"Lauri Markkanen,Zach LaVine,Tomáš Satoranský,Wendell Carter,Otto Porter","Coby White,Kris Dunn,Ryan Arcidiacono,Luke Kornet,Thaddeus Young,Shaquille Harrison,Denzel Valentine,Daniel Gafford","Kyle Lowry,Fred VanVleet,Pascal Siakam,OG Anunoby,Marc Gasol","Norman Powell,Serge Ibaka,Matt Thomas,Terence Davis,Stanley Johnson,Chris Boucher,Malcolm Miller,Rondae Hollis-Jefferson","Marc Davis,Karl Lane,Brett Nansel",62.07626373626374,58.10828484718277,79.32961993457276,60.29500437062937,2.0,23.666666666666664,,,,,192,0,0.022727272727272728,20.0
30,30,2019-10-26,20:00:00,Indiana Pacers,Cleveland Cavaliers,99,110,0,19432,CLE,IND,"Tristan Thompson,Kevin Love,Collin Sexton,Darius Garland,Cedi Osman","Kevin Porter,Larry Nance,Matthew Dellavedova,Jordan Clarkson,John Henson,Alfonzo McKinnie,Tyler Cook,Brandon Knight","Myles Turner,T.J. Warren,Malcolm Brogdon,Domantas Sabonis,Edmond Sumner","Justin Holiday,T.J. McConnell,T.J. Leaf,Doug McDermott,Goga Bitadze,JaKarr Sampson,Aaron Holiday,Alize Johnson","Mitchell Ervin,C.J. Washington,Sean Wright",73.76398305084746,37.33864699627857,69.91822155986091,46.26655746146609,6.0,,,,,,209,0,0.022727272727272728,20.0
31,31,2019-10-26,20:00:00,New Orleans Pelicans,Houston Rockets,123,126,0,18055,HOU,NOP,"P.J. Tucker,James Harden,Russell Westbrook,Danuel House,Clint Capela","Eric Gordon,Austin Rivers,Thabo Sefolosha,Tyson Chandler,Ben McLemore,Chris Clemons,Gary Clark,Ryan Anderson","Brandon Ingram,Lonzo Ball,Josh Hart,J.J. Redick,Derrick Favors","Kenrich Williams,Frank Jackson,Nickeil Alexander-Walker,Jahlil Okafor,Nicolò Melli,Zylan Cheatham,E'Twaun Moore,Jaxson Hayes","John Goble,Ben Taylor,Dedric Taylor",93.10456870502388,46.918472302336646,70.948238652186,46.3777463330548,3.0,,,,,,249,1,0.022727272727272728,20.0
32,32,2019-10-26,20:30:00,Washington Wizards,San Antonio Spurs,122,124,0,18354,SAS,WAS,"DeMar DeRozan,LaMarcus Aldridge,Bryn Forbes,Dejounte Murray,Trey Lyles","Rudy Gay,Derrick White,Patty Mills,Jakob Poeltl,Marco Belinelli,Lonnie Walker,DeMarre Carroll,Chimezie Metu","Bradley Beal,Rui Hachimura,Thomas Bryant,Ish Smith,Isaac Bonga","Dāvis Bertāns,Isaiah Thomas,Moritz Wagner,Admiral Schofield,Garrison Mathews,Jordan McRae,Chris Chiozza,Justin Robinson","Ray Acosta,Tony Brown,Marat Kogut",69.35806130708379,55.117406031240996,71.05118336210586,62.63443443443443,4.0,,,,105.66666666666669,106.33333333333331,246,1,0.022727272727272728,20.5
33,33,2019-10-26,21:00:00,Sacramento Kings,Utah Jazz,81,113,0,18306,UTA,SAC,"Donovan Mitchell,Rudy Gobert,Bojan Bogdanović,Mike Conley,Royce O'Neale","Joe Ingles,Emmanuel Mudiay,Ed Davis,Jeff Green,Georges Niang,Stanton Kidd,Tony Bradley,Nigel Williams-Goss","Dewayne Dedmon,Harrison Barnes,De'Aaron Fox,Buddy Hield,Nemanja Bjelica","Cory Joseph,Bogdan Bogdanović,Trevor Ariza,Wenyen Gabriel,Richaun Holmes,Yogi Ferrell,Justin James,Caleb Swanigan","Brian Forte,Scott Foster,Justin Van Duyne",79.58822886615962,37.7050478927203,72.63762626262627,52.856278014002065,2.0,39.0,,,,,194,0,0.022727272727272728,21.0
34,34,2019-10-26,22:00:00,Los Angeles Clippers,Phoenix Suns,122,130,0,15802,PHO,LAC,"Devin Booker,Dario Šarić,Jevon Carter,Aron Baynes,Kelly Oubre","Frank Kaminsky,Mikal Bridges,Tyler Johnson,Cameron Johnson,Elie Okobo,Jared Harper,Cheick Diallo,Deandre Ayton","Landry Shamet,Kawhi Leonard,Patrick Patterson,Patrick Beverley,Ivica Zubac","Montrezl Harrell,Lou Williams,Maurice Harkless,JaMychal Green,Johnathan Motley,Terance Mann,Jerome Robinson,Mfiondu Kabengele","Jacyn Goble,David Guthrie,Tre Maddox",52.288732454049466,62.00029484937319,57.01159652690863,60.40823101629553,3.0,25.0,,,,,252,1,0.022727272727272728,22.0
35,35,2019-10-27,15:30:00,Golden State Warriors,Oklahoma City Thunder,92,120,0,18203,OKC,GSW,"Terrance Ferguson,Shai Gilgeous-Alexander,Steven Adams,Danilo Gallinari,Chris Paul","Darius Bazley,Dennis Schröder,Nerlens Noel,Hamidou Diallo,Abdel Nader,Deonte Burton,Mike Muscala,Justin Patton","Stephen Curry,Draymond Green,Marquese Chriss,D'Angelo Russell,Glenn Robinson","Omari Spellman,Eric Paschall,Jordan Poole,Jacob Evans,Damion Lee,Ky Bowman","James Williams,Haywoode Workman,Zach Zarba",71.29610190575707,52.51661057252179,61.200280296062715,54.85728874731986,5.0,,,,,,212,0,0.028409090909090908,15.5
36,36,2019-10-27,18:00:00,Brooklyn Nets,Memphis Grizzlies,133,134,1,15517,MEM,BRK,"Jae Crowder,Dillon Brooks,Ja Morant,Jaren Jackson,Jonas Valančiūnas","Brandon Clarke,Solomon Hill,Kyle Anderson,Tyus Jones,Grayson Allen,Marko Guduric,Bruno Caboclo,De'Anthony Melton","Caris LeVert,Joe Harris,Kyrie Irving,Taurean Waller-Prince,DeAndre Jordan","Spencer Dinwiddie,Jarrett Allen,Garrett Temple,David Nwaba,Rodions Kurucs,Džanan Musa,Wilson Chandler,Theo Pinson","Brandon Adair,Mark Lindsay,Ken Mauer",58.586653575680934,52.67384725757608,67.38366910866911,64.56484453046953,4.0,11.333333333333336,,,,,267,1,0.028409090909090908,18.0
